used time:1.662572224934896e-05,step:160,loss:17.400815963745117,mse_loss:1.5696654319763184
used time:0.17991936206817627,step:161,loss:26.72490692138672,mse_loss:1.6657673120498657
used time:0.3570531407992045,step:162,loss:18.70149803161621,mse_loss:1.5320008993148804
used time:0.515125846862793,step:163,loss:23.85689353942871,mse_loss:1.6964408159255981
used time:0.693055522441864,step:164,loss:18.71997833251953,mse_loss:1.6207616329193115
used time:0.8629057765007019,step:165,loss:17.03651237487793,mse_loss:1.5088424682617188
used time:1.0426718910535178,step:166,loss:15.724966049194336,mse_loss:1.618804931640625
used time:1.221618660291036,step:167,loss:12.320734977722168,mse_loss:1.5548559427261353
used time:1.3851325869560243,step:168,loss:21.963224411010742,mse_loss:1.6940245628356934
used time:1.5605632424354554,step:169,loss:11.481637954711914,mse_loss:1.5962088108062744
used time:1.7311856865882873,step:170,loss:27.78682518005371,mse_loss:1.5831007957458496
used time:1.9232118010520936,step:171,loss:23.416006088256836,mse_loss:1.683980941772461
used time:2.110296130180359,step:172,loss:12.007659912109375,mse_loss:1.5120830535888672
used time:2.3027372042338055,step:173,loss:15.982800483703613,mse_loss:1.4619133472442627
used time:2.4673941175142926,step:174,loss:16.128463745117188,mse_loss:1.6692359447479248
used time:2.6167894919713337,step:175,loss:18.489538192749023,mse_loss:1.5496200323104858
used time:2.7693028688430785,step:176,loss:25.839677810668945,mse_loss:1.5059760808944702
used time:3.23360364039739,step:178,loss:17.551422119140625,mse_loss:1.5078585147857666
used time:3.418828813234965,step:179,loss:13.959548950195312,mse_loss:1.5209276676177979
used time:3.618104088306427,step:180,loss:31.566513061523438,mse_loss:1.5506372451782227
used time:3.8017691214879354,step:181,loss:18.815059661865234,mse_loss:1.5457274913787842
used time:3.9927429715792337,step:182,loss:21.711172103881836,mse_loss:1.5335118770599365
used time:4.17360010544459,step:183,loss:17.128097534179688,mse_loss:1.5435779094696045
used time:4.3390383640925085,step:184,loss:16.78311538696289,mse_loss:1.5486493110656738
used time:4.514720972379049,step:185,loss:13.874435424804688,mse_loss:1.5177264213562012
used time:4.682519710063934,step:186,loss:19.67716407775879,mse_loss:1.4130653142929077
used time:4.855761059125265,step:187,loss:11.734517097473145,mse_loss:1.6581900119781494
used time:5.018749360243479,step:188,loss:14.306380271911621,mse_loss:1.3170883655548096
used time:5.1718676567077635,step:189,loss:11.149724960327148,mse_loss:1.4079049825668335
used time:5.335964675744375,step:190,loss:16.883119583129883,mse_loss:1.6570318937301636
used time:5.7924879829088844,step:192,loss:14.0156888961792,mse_loss:1.4789608716964722
used time:5.981167427698771,step:193,loss:14.010619163513184,mse_loss:1.4729262590408325
used time:6.1500782171885175,step:194,loss:14.377787590026855,mse_loss:1.5445594787597656
used time:6.323680512110392,step:195,loss:17.656757354736328,mse_loss:1.4834754467010498
used time:6.510647861162822,step:196,loss:16.775102615356445,mse_loss:1.5664613246917725
